"name","institution"
"Christian Agyare","Department of Pharmaceutics, Faculty of Pharmacy and Pharmaceutical Sciences, Kwame Nkrumah University of Science and Technology, Kumasi, Ghana"
"Nadia Abuzied","Federal Ministry of Health, Khartoum, Sudan"
"Robert F. Otondo","Mississippi State University"
"Matthew J. Witry","University of Iowa"
"Julio Cesar Ferro de Guimarães","Faculdade Meridional IMED"
"G Ramesh","Department of Oral and Maxillofacial Pathology, Rama Dental College Hospital and Research Centre, Kanpur, Uttar Pradesh, India"
"Severin Hennemann","1Department of Psychosomatic Medicine and Psychotherapy, University Medical Center, Gutenberg University Mainz, Mainz, Germany  2Department of Clinical Psychology, Psychotherapy and Experimental Psychopathology, Institute of Psychology, University of Mainz, Mainz, Germany"
"Nasibeh Hajilary","Department of Chemical Engineering, Golestan University, Gorgan, Iran"
"Claus-Peter H. Ernst","Frankfurt University of Applied Sciences"
"Reto Wüest","University of Geneva"
"Sang-Hyun Kim","Seoul National University College of Medicine"
"Silva Umann","UDEA"
"Michaela Haase","Freie Universität Berlin, Berlin, Germany"
"Sujaya Gupta","Kantipur Dental College"
"Laura L. King","Department of Criminal Justice, Boise State University, Boise, Idaho, USA"
"Annabell Daniel","Freie Universität Berlin"
"Frances Y. Kuo","School of Mathematics and Statistics, University of New South Wales, SydneyAustralia"
"Coskun Canan","Humboldt University of Berlin"
"Paul A. Jewsbury","University of Melbourne"
"Jeffrey Huffman","Massachusetts General Hospital, Boston, MA, USA"
"Asako Miur","Department of Psychological Science, Kwansei Gakuin University, Nishinomiya, Japan"
"Trent Maurer","Georgia Southern University, Statesboro, USA"
"Anthony Clement Igboanugo","University of Benin"
"Stelios Karagiannis","Centre of Planning and Economic Research, Athens, Greece"
"Noah Ivers","University of Toronto"
"J Djokovic","Department of Pharmacology and Toxicology"
"Eva Bostjancic","University of Ljubljana"
"Georgios KORONIS","Singapore University of Technology and Design"
"Alejandro Salado","Grado Department of Industrial and Systems Engineering Virginia Tech"
"Melissa D. Kunkel","Indiana University School of Medicine"
"Yu LI","Advanced Digital Sciences Center, Singapore"
"Sarah K. Schäfer","Saarland University"
"Yuqing Zhang","Department of Health Research Methods, Evidence, and Impact, McMaster University, Hamilton, Ontario, Canada Guang'anmen Hospital China Academy of Chinese Medical Science, Xicheng District, Beijing, China"
"Rob Grieve","University of the West of England"
"Ahmed Ibrahim","University of Chicago"
"Selcuk Selcuk","Zeynep Kamil Training and Research Hospital"
"Anders Molander","Centre for the Study of Professions, Oslo and Akershus University College, Norway."
"Li Zheng","Department of Electrical and Information Technology"
"Matthew Witry","Department of Pharmacy Practice and Science, University of Iowa College of Pharmacy, 115 S. Grand Avenue S515 PHAR, Iowa City, IA 52242."
"Ching-Shui Cheng","University of California, Berkeley"
"Siv K. Stafseth","Oslo University Hospital-Rikshospitalet"
"Wim Oorschot","University of Leuven"
"Taruna Malhotra","Vaish College of Education, Rohtak"
"Anna Forke","Johannes Gutenberg-University Mainz"
"Jagdish Chaturvedi","Apollo Hospital, India"
"Davide Marengo","University of Aosta Valley"
"Timothy Brown","University of Texas at Dallas"
"Alessandra Dosch","University of Geneva"
"Anne Toussaint","Department of Psychosomatic Medicine and Psychotherapy, University Medical Center Hamburg-Eppendorf and Schön Klinik Hamburg Eilbek, Hamburg, Germany"
"Tobias Wolbring","Mannheim,Deutschland"
