"","name","institution","delete"
"394","Larissa Rabbiosi","Department of Strategy and InnovationCopenhagen Business SchoolFrederiksbergDenmark",""
"395","Masaya Ito","National Center of Neurology and Psychiatry, National Center for Cognitive Behavior Therapy and Research, Tokyo, Japan",""
"396","Daan Liang","Texas Tech University",""
"397","Thomas Dietz","Department of Sociology, Environmental Science and Policy Program, Michigan State University, East Lansing, Michigan, United States of America",""
"398","Peter Taylor","Chang'an University",""
"399","Clifton Carey","University of Colorado",""
"400","Hanna Christiansen","Philipps University of Marburg",""
"401","Ali Kasaeian","University of Tübingen",""
"402","Irene Røen","Innlandet Hospital Trust",""
"403","Kirsten Martin","George Washington University School of Business",""
"404","Crystal Chapman Lambert","University of Alabama",""
"405","Alex M Cressman","Faculty of Medicine, University of Toronto, Toronto, Ontario, Canada",""
"406","Sura Searan","University of Anbar",""
"407","Roger Millsap","Clinical Psychology & Psychotherapy",""
"408","Dylan Mezzio","Xcenda",""
"409","Lianne Kokoska","Harper University Hospital, Detroit Medical Center",""
"410","Jessica Sheringham","Department of Applied Health Research, UCL",""
"411","Anatoliy Gruzd","Ryerson university",""
"412","Davide Massidda","University of Cagliari",""
"413","Sebastian Sattler","Institute for Sociology and Social Psychology",""
"414","Muhammad Kamran","Cryptography and Security",""
"415","Abáigar Pedraza","General University Hospital of Alicante",""
"416","Paul Lowry","The University of Hong Kong",""
"417","A. Vinodan","School of Management Studies Cochin University of Science and Technology, Kochi, Kerala, India",""
"418","Valentina Stasio","University of Oxford",""
"419","Shantanu Debnath","Department of Production Engineering, National Institute of Technology Agartala, Tripura 799046, India",""
"420","MB Sruthimol","NIMHANS, Bangalore, India",""
"421","Tiago Correia","School of Sociology and Public Policies, ISCTE-Instituto Universitário de Lisboa, Av Forcas Armadas, 1649-026, Lisbon, Portugal",""
"422","Paul Lowry","University of Hong Kong","x"
"423","Ahmad Thuraya Kaadan","Graduate School of Informatics Department of Social, Informatics Nagoya University, Nagoya, Japan",""
"424","Okoh Ufuoma","Apex Academy",""
"425","Corine Buers","Utrecht University School of Governance",""
"426","Merrill Warkentin","Mississippi State University",""
"427","Bernice Elgera","Institute for Biomedical Ethics, University of Basel, Switzerland",""
"428","Stephanie Thompson","University of Alberta",""
"429","Debby Vos","Department of Political Science, University of Antwerp",""
"430","Viegas , Rocío","Rocío Universitat Jaume",""
"431","Young Jeong Na","Massachusetts General Hospital",""
"432","Tsair-Wei Chien","Department of Hospital and Health Care Administration, Chia-Nan University of Pharmacy and Science, Tainan, Taiwan",""
"433","Christopher DeLuca","Faculty of Education, Queen’s University , Kingston, Canada",""
"434","Anthony Faustine","Cornell University",""
"435","Juan Carlos Sierra","Mind, Brain, and Behavior Research Center (CIMCYC), Universidad de Granada, Spain",""
"436","Flavia Fossati","Malmö Institute for Studies of Migration, Diversity and Welfare (MIM)",""
"437","AI Lala","“Robert PAX” Hospital Center, Sarreguemines, France",""
"438","J Moon","M","x"
"439","Francesca Bruno","Alma Mater Studiorum University",""
"440","Allen Johnston","University of Alabama",""
"441","Inbal Nahum-Shani","Institute for Social Research, The University of Michigan",""
"442","Lilin Xiong","Nanjing Municipal Center for Disease Control and Prevention",""
"443","Mirko Antino","Instituto Universitário de Lisboa",""
"444","FAN YANG","The University of Hong Kong, China.",""
"445","Deirdre J. Lyell","Department of Obstetrics and Gynecology, Stanford University, Palo Alto, California",""
"446","Madeline Stenger","Northern Arizona University",""
"447","Alka Agnihotri","International Conference on Infocom Technologies and Unmanned Systems, Amity University",""
"448","Shuen Tsai","Nat. Cheng Kung Univ",""
"449","Robert Costigan","St. John Fisher College",""
"450","Michael Parchman","Group Health Research Institute",""
"451","Celene Reynolds","Yale University",""
"452","WimVan Biesen","Ghent University Hospital",""
"453","Hermann Dülmer","1Institute of Sociology and Social Psychology, University of Cologne",""
"454","Paul Lowry","The University of Hong Kong","x"
"455","Simon Willcock","University of Southampton",""
"456","Christopher Blattman","Columbia University SIPA, 420 W 118th St., New York, NY, United States",""
"457","N Toomanian","Pedodiversity",""
"458","Noah Ivers","Women’s College Research Institute and Women’s College Hospital Institute for Health Systems Solutions and Virtual Care, Toronto, Canada Department of Family and Community Medicine, Women’s College Hospital, Toronto, Canada Institute for Clinical Evaluative Studies, Toronto, Canada Department of Family and Community Medicine and Institute of Health Policy, Management and Evaluation, University of Toronto, Toronto, Canada",""
"459","Cláudia Tartaglia Reis","Secretaria Municipal de Saúde de Cataguases, Cataguases, Brasil.",""
"460","Stephanie Moser","University of Berne",""
"461","Mehdi Bagherzadeh","NEOMA Business School",""
"462","Marley Watkins","Baylor University",""
"463","Brett R. Blackwell","U.S. EPA, Mid-Continent Ecology Division, 6201 Congdon Boulevard, Duluth, Minnesota 55804, United States",""
"464","Loreena Hill","Research Fellow, Queen’s University, Belfast, Northern Ireland, United Kingdom.",""
"465","Priscar Sue Barasa","United States International University Africa",""
"466","Lynn Erbe","University of Nbraska-Lincoln",""
"467","D. Peipert John","University of California",""
"468","A. S. Masutti Thiago","Catholic University",""
"469","David Donato","Eastern Geographic Science Center",""
"470","Samantha L. Quaife","Department of Behavioural Science and Health, University College London, Gower Street, London, WC1E 6BT, UK",""
"471","ELEANOR DAVIES","University of Huddersfield",""
"472","Michel C.F. Shamy","From the Department of Medicine (M.C.F.S., R.R.) and Division of Neurology (M.C.F.S.), and School of Public Health, Preventive Medicine and Epidemiology (M.C.F.S., M.P.), University of Ottawa, Ontario, Canada; Ottawa Hospital Research Institute, Ottawa, Ontario, Canada (M.C.F.S., R.R.); Department of Neurology, University of California San Francisco (K.M., A.S.K.); and Department of History (F.W.S.), Department of Community Health Sciences (F.W.S., E.E.S.), and Department of Clinical Neurosciences (E.E.S.), University of Calgary, Alberta, Canada.",""
"473","Patricia Appel","Department of Medical Psychology and Psychotherapy, Medical Sociology and Rehabilitation Sciences, University of Würzburg, Klinikstrasse 3, 97070, Würzburg, Germany",""
"474","Bitila Zhuli","Agricultural University of Tirana",""
"475","Ida Højskov","Copenhagen University Hospital",""
"476","Amador Priede","University Hospital “Marqués de Valdecilla”",""
"477","Maryam Nasirian","Epidemiology and Biostatistics Department, Health School; and Infectious Diseases and Tropical Medicine Research Center, Isfahan University of Medical Sciences, Isfahan, Iran",""
"478","Artiom Alhazov","Institute of Mathematics and Computer Science, Academy of Sciences of Moldova",""
"479","Christian Hederich-Martínez","Universidad Pedagógica Nacional",""
"480","Henrik Egbert","Economy, Business Economy",""
"481","Javier Ortuño Sierra","University of La Rioja",""
"482","Jared Bartels","Missouri Valley College",""
"483","Samet Kose","University of Texas",""
"484","Muhammad Akhund","Mehran University of Engineering & Technology",""
"485","Suresh Malodia","Symbiosis Institute of Business Management",""
"486","Kristin Baughman","Northeast Ohio Medical University",""
"487","Lusine Grigoryan","Research Fellow, International Laboratory for Socio-Cultural Research, National Research University Higher School of Economics; PhD Fellow, Bremen International Graduate School of Social Sciences, Bremen, Germany, Moscow, Russia",""
"488","Chiejine C.M","University of Benin",""
"489","Mariatul Jaffar","Universiti Teknologi MARA",""
"490","C McAulay‐Powell","University Hospital Geelong",""
"491","Benjamin Davies","University of Cambridge",""
"492","Pablo Vallejo-Medina","Fundación Universitaria Konrad Lorenz","x"
"493","Sergio Herzog","Department of Criminology, Safed College, Safed, Israel",""
"494","Ruxandra BEJINARU","Ștefan cel Mare University of Suceava","x"
"495","Angelica B Ortiz de Gortari","Department of Psychology, Nottingham Trent University, Nottingham,UK",""
"496","Juha Kääriäinen","University of Helsinki",""
"497","K Vandana","Drs Sudha and Nageswara Rao Siddhartha Institute of Dental Sciences, Gannavaram, Andhra Pradesh, India",""
"498","Romer Castillo","Batangas State University",""
"499","Diego Gomez-Baya","Universidad de Huelva",""
"500","Abigail Greenleaf","Johns Hopkins Bloomberg School of Public Health",""
"501","Maryam Vamdar","Islamic Azad University",""
"502","Claudia Finger","WZB Berlin Social Science Center",""
"503","Rathie Rajendram","Moorfields Eye Hospital NHS Foundation Trust",""
"504","Nnoka Kingsley","Department of Nutrition and Dietetics, School of Applied Sciences, The Federal Polytechnic Ede, Osun State, Nigeria.",""
"505","Ryan Patten","Saint Louis University",""
"506","Micaela Pinho","Universidade Portucalense, Research on Economics, Management and Information Technologies – REMIT, DEG, Oporto, Portugal",""
"507","Gratianne Vaisson","Laval University, Quebec City, QC, Canada",""
"508","Katrin Auspurg","Goethe-University Frankfurt","x"
"509","Daphne C. Watkins","School of Social Work, University of Michigan",""
"510","Sariya Udayachalerm","Purdue University",""
"511","Daniela Knuth","University Greifswald",""
"512","Arsène Zongo","1Faculty of Pharmacy, Laval University, Quebec City, QC, Canada2Population Health and Optimal Health Practices Research Unit, CHU de Québec - Université Laval Research Centre, Quebec City, QC, Canada3Chair on adherence to treatments, Laval University, Quebec City, QC, Canada",""
"513","Annamaria Bagnasco","University of Genoa",""
"514","Poluri Koteswari","Hindu College of Pharmacy",""
"515","Xiaobing Liu","Chinese Center for Disease Control and Prevention",""
"516","K. Bhargavi","Siddaganga Institute of Technology",""
"517","W. Wheldon Christopher","Johns Hopkins University Press",""
"518","Alexander R.Bazazi","Yale School of Public Health, Department of Epidemiology of Microbial Diseases, New Haven, CT, USA",""
"519","Claire Garnett","University College London",""
"520","Davoud Balarak","Ankara University",""
"521","Michel Hubertus He","The University of North Carolina Wilmington",""
"522","Xiao Ma","Cornell University",""
"523","Carlos Cardoso","Portuguese Institute for the Sea and Atmosphere (IPMA)",""
"524","Hossein Abdolrahimzadeh","Trauma Research Center, Shahid Rajaee (Emtiaz) Trauma Hospital, Shiraz University of Medical Sciences, Shiraz, Iran",""
"525","K.L. Beck","School of Food and Nutrition, College of Health Massey University Auckland Auckland New Zealand",""
"526","Faustin Habineza","INES-Ruhengeri",""
"527","Jae Kwon","University of British Columbia",""
"528","Shubao Chen","Central South University",""
"529","Maria Fleischmann","University College London",""
"530","Glory Viapude","University Tunku Abdul Rahman",""
"531","Jianfei Cai","Nanyang Technological University",""
"532","Zhe Zhang","Northeastern University",""
"533","Carme Prunera","University of Barcelona",""
"534","Pedro Domingues","University of Minho",""
"535","Roy J.D. Macdonald","Research Center, University College of Osteopathy",""
"536","Michael Hanslmaier","Criminological Research Institute of Lower Saxony Germany",""
"537","Shamagonam James","University of the Witwatersrand",""
"538","Zach Sommers","Northwestern University",""
"539","Sophie Laforest","Université de Montréal","x"
"540","Yasemin Altınok","Ege University",""
"541","William A Millington","American Society of Agricultural and Biological Engineers",""
"542","Subir Ghosh","University of California","x"
"543","Laure Charleux","University of Minnesota–Duluth",""
"544","JANANI MARIMUTHU","Holy Cross College",""
"545","Christelle Martin-Lacroux","University of Grenoble",""
"546","Pascale Deneulin","University of Applied Sciences and Arts Western Switzerland",""
"547","Jennifer Sánchez","The University of Iowa",""
"548","Zhen-Yu She","College of Management and Economics, Tianjin University, Tianjin 300072, China",""
"549","Zhaohong Deng","School of Digital Media, Jiangnan University, Wuxi, Jiangsu, PR China",""
"550","Christopher Blattman","Columbia University SIPA, 420 W 118th St., New York, NY, United States","x"
"551","Reto Wüest","University of Geneva",""
"552","Marjolijn De Wilde","The Implementation of Social Policy: A Factorial Survey Approach,"" Working Papers 1706, Herman Deleeck Centre for Social Policy, University of Antwerp.",""
"553","Maria Brenner","Trinity College of Dublin",""
"554","Monica Martinez","Universitat Politècnica de Catalunya",""
"555","Michael Findley","University of Texas",""
"556","Norma M Riccucci","Rutgers University, Newark",""
"557","Inbal Nahum-Shani","The University of Michigan","x"
"558","Alexandra Parker","University of Melbourne",""
"559","Nuwan Wickramasinghe","Rajarata University of Sri Lanka",""
"560","Cristina Valenzuela","Universidad Autónoma de Chile",""
"561","Wesley H. Jones","Single","x"
"562","Juan Espinosa","University of California, Santa Barbara",""
"563","Esther Vega","Universidad de Sevilla",""
"564","Alka Agnihotri","Amity University","x"
"565","Richard Mababu","Universidad a Distancia de Madrid",""
"566","Murat Alan","Yildiz Technical University,",""
"567","D. B. Karp","Far Eastern Federal University and Institute of Applied Mathematics of the FEBRAS, Vladivostok, Russia",""
"568","Sarah Roberts","University of Illinois at Urbana-Champaign",""
"569","Long Khuong","Ho Chi Minh City University of Medicine and Pharmacy",""
"570","Brad Trinkle","Mississippi State University",""
"571","Jasper Hotho","Copenhagen Business School",""
"572","HAJI LATIF","Tarbiat Modares University",""
"573","Ruxandra Bejinaru","Facultatea de Management – Scoala Nationala de Studii Politice si Administrative (SNSPA), Ștefan cel Mare University of Suceava",""
"574","Krystallia Moysidou","University of Hamburg",""
"575","An Zehui","Social participation in University Governance: China's situation and its path selection",""
"576","Martin Abraham","University Erlangen-NurembergNurembergGermany",""
"577","Zheng Li","Department of Electrical and Information Technology, Lund University, Lund, Sweden",""
"578","Reecha Gupta","Department of Prosthodontics and Dental materials, Indira Gandhi Government Dental College, Jammu",""
"579","Rosemary Bailey","University of St. Andrews",""
"580","Frederick S. Barrett","John Hopkins University of Medicine",""
"581","Fabienne Ennigkeit","Institute of Sport Sciences, Goethe-University Frankfurt",""
"582","Sherman A. Lee","Department of Psychology, Christopher Newport University",""
"583","James Bowen","University of North Carolina at Charlotte",""
"584","Anne-Kathrin Mayer","Leibniz Institute for Psychology Information",""
"585","Noor Kassim","International Islamic University Malaysia",""
"586","Reecha Gupta","Indira Gandhi Government Dental College","x"
"587","Jaimie F. Veale","School of Psychology, Te Kura Kete Aronui: Faculty of Arts and Social SciencesTe Whare Wananga o Waikato: The University of WaikatoHamiltonNew Zealand",""
"588","Serkan Deveci","Department of Urology, Memorial Sloan Kettering Cancer Center, New York, NY, USA  Department of Urology, Medical School of Acibadem University, Istanbul, Turkey",""
"589","Jimmy B. Beck,","Department of Pediatrics, University of Washington, Seattle, Washington",""
"590","YOUSOFI ALI","ACECR RESEARCH CENTER FOR TOURISM",""
"591","Pablo Vallejo-Medina","Fundación Universitaria Konrad Lorenz",""
"592","Sarah L. Appleton","University of Adelaide",""
"593","F. Bellissimo Rodrigues","University of Geneva Hospitals and Faculty of Medicine",""
"594","B O Olley","Psychology, University of lbadan,lbadan,Nigeria",""
"595","Pedro Domingues","University of Minho","x"
"596","Kathy Phipps","None",""
"597","Claudia Diehl","Universität Konstanz, Fachbereich Geschichte und Soziologie",""
"598","Isabelle Stadelmann-Steffen","University of Bern",""
"599","Esther Vega Gea","Universidad de Sevilla",""
"600","Jing Zhang","San Jose State University",""
"601","Alison Oates","College of Kinesiology",""
"602","Chao Li","Chongqing Key Laboratory of Computational IntelligenceChongqing University of Posts and Telecommunications",""
"603","Claude Scheuer","Institute for Applied Educational  Sciences",""
"604","David Gefen","Drexel University",""
"605","Anders Molander","Oslo and Akershus University College",""
"606","María B. Becerra","Instituto Tecnológico de San Juan del Río",""
"607","Avidit Acharya","Cambridge University",""
"608","Chloë FitzGerald","Faculty of Medicine University of Geneva",""
"609","Samuel Smith","Queen Mary University",""
"610","Petra Dickel","University of Kiel, Institute for Innovation Research, Westring 425, 24118 Kiel, Germany",""
"611","Siobhan McMahon","University of Minnesota",""
"612","ULF LIEBE","University of Bern",""
"613","Shalki Choudhary","Molecular Modelling Lab (MML), Department of Pharmaceutical Sciences and Drug research, Punjabi University, Patiala, Punjab, 147002, India",""
"614","Daniel Pascual","University of Santiago de Compostela",""
"615","Abdullah Mamun","Jessore University of Science & Technology",""
"616","PÉTER BALOGH","University of Szeged",""
"617","Megan R. Crawford","Corresponding author at: Rush University Medical Center, 1653 W. Congress Parkway, Chicago, IL 60612-3833, United States.",""
"618","Kie Zuraw","Linguistic Society of America",""
"619","Pascal Meier","Universität Osnabrück",""
"620","Dan Su","University of Wisconsin",""
"621","Daniel O'Donnell","Michigan State University",""
"622","RIDOLFI LIVIA","A Factorial Survey Design. Speech presented at: 29th Annual Conference of the Human Behavior and Evolution Society, Boise ID, Usa.",""
"623","Joshua Thorpe","Corporal Michael J. Crescenz VA Medical Center",""
"624","Pierrick Haffray","SYSAAF, LPGP, Campus de Beaulieu, F-35042 Rennes, France",""
"625","Rodrigo Junqueira Leão","Brazilian Synchrotron Light Laboratory",""
"626","Laura Beskow","Duke University School of Medicine",""
"627","Lauren Barnett","Keele University",""
"628","Yu Li","Advanced Digital Sciences Center, Singapore",""
"629","Suzanne E Reich","School of Social Science , University of Queensland,St.Lucia,Australia",""
"630","Subir Ghosh","University of California, Riverside, USA",""
"631","Lynne M. Gordon","University of Washington",""
"632","Alemayehu Argaw","Jimma University",""
"633","Sophie Laforest","Université de Montréal",""
"634","Dexin Shi","University of Oklahoma",""
"635","{} J.Wenger","Florida State University",""
"636","Gregory Porumbescu","Rutgers University Newark",""
"637","Mehdi Srifi","Mohammed V University",""
"638","Jordan Barlow","University of St. Thomas",""
"639","Alexander Tsai","Mbarara University of Science and Technology",""
"640","Susana Ivonne Aguirre Vázquez","Autonomous University of Chihuahua",""
"641","Elizabeth MacDougall","Hood College, Frederick, Maryland, USA",""
"642","Sarah Schäfer","Saarland University",""
"643","A.L.S. Rocha1","Universidade Federal Rural do Semi-Árido (CMPF), 59.900-970, Pau dos Ferros – RN, Brasil",""
"644","Ghazaleh Abedi","Department of Chemistry, Faculty of Physics & Chemistry, Alzahra University, Vanak, Tehran, Iran",""
"645","Sverre Bergh","Vestfold Hospital Trust",""
"646","Michael Mugavero","University of Alabama",""
"647","Derek R MacFadden","Faculty of Medicine, University of Toronto, Toronto, Ontario, Canada",""
"648","Ali Sagheer","University of Anbar",""
"649","David Hughes","Human Mutation",""
"650","Ken O’Day","Xcenda",""
"651","Candice Garwood","Harper University Hospital, Detroit Medical Center & Wayne State University",""
"652","Rosalind Raine","Department of Applied Health Research, UCL",""
"653","Dinorah Garcia-Romero","Universidad Cooperativa de Colombia",""
"654","Gianmarco Altoè","University of Padua",""
"655","Anja S. Göritz","Institute of Psychology, University of Freiburg",""
"656","Muddassar Farooq","Cryptography and Security",""
"657","J. Megías Garrigós","General University Hospital of Alicante",""
"658","Sutirtha Chatterjee","University of Nevada","x"
"659","S. Meera","Indian Institute of Tourism and Travel Management, Nellore, Andhra Pradesh, India",""
"660","G.R.K. Sastry","Department of Mechanical Engineering, National Institute of Technology Agartala, Tripura 799046, India",""
"661","Tharayil M Harish","Department of Psychiatry, Government Medical College, Kozhikode",""
"662","Graça Carapinheiro","School of Sociology and Public Policies, ISCTE-Instituto Universitário de Lisboa, Av Forcas Armadas, 1649-026, Lisbon, Portugal",""
"663","Sutirtha Chatterjee","University of Nevada, Las Vegas","x"
"664","Takami Yasuda","Graduate School of Informatics Department of Social, Informatics Nagoya University, Nagoya, Japan",""
"665","Single Single","Single","x"
"666","Joop Schippers","Utrecht University School of Governance",""
"667","Philip Menard","University of South Alabama",""
"668","Tenzin Wangmoa","Institute for Biomedical Ethics, University of Basel, Switzerland",""
"669","Scott Klarenbach","University of Alberta",""
"670","Caballer Antonio","Raquel National Association of Evolutionary and Educational Psychology of Children",""
"671","Andrew Siegel","Argonne National Laboratory",""
"672","Dong-Hui Jen","Department of Chinese Medicine, Chi-Mei Medical Center, No. 901, Chung Hwa Road, Yung Kung Dist, Tainan, 710, Taiwan",""
"673","Ulemu Luhanga","School of Medicine, Emory University , Atlanta, GA, USA",""
"674","Kisangiri Michael","Cornell University",""
"675","Carmen Gómez-Berrocal","Mind, Brain, and Behavior Research Center (CIMCYC), Universidad de Granada, Spain",""
"676","Giuliano Bonoli","Malmö Institute for Studies of Migration, Diversity and Welfare (MIM)",""
"677","LM Sturzu","Lorraine University",""
"678","Michela Cameletti","University of Bergamo, Italy",""
"679","Lemuria Carter","Information Systems at Virginia Commonwealth University",""
"680","John J. Dziak","The Methodology Center, The Pennsylvania State University",""
"681","Meng Tang","Southeast University",""
"682","Rodrigo A. Asún","University of Chile",""
"683","VIVIAN W. Q. LOU","The University of Hong Kong.",""
"684","Jay Schulkin","Research Department, American College of Obstetricians & Gynecologists, Washington, District of Columbia",""
"685","Single Single","Single","x"
"686","Shikha Kapoor","Scale Development and Factorial Analysis of Shared leadership  in the Context of Indian IT Sector, Amity University",""
"687","Jung Shian Li","National Cheng Kung University",""
"688","Unsal Sigri","Baskent University",""
"689","Leah Tuzzio","Group Health Research Institute",""
"690","Emily Erikson Erikson","Yale University",""
"691","Valerie Luyckx","University of Zurich",""
"692","Sutirtha Chatterjee","University of Nevada, Las Vegas",""
"693","Kelvin Peh","University of Southampton",""
"694","Julian Jamison","Global Insights Initiative, The World Bank, 1818 H St NW, Washington, DC, United States",""
"695","I Boroujeni","College of Agriculture",""
"696","Jeremy Grimshaw","Clinical Epidemiology Program, Ottawa Hospital Research Institute, Ottawa, Canada Department of Medicine, University of Ottawa, Ottawa, Canada",""
"697","Mônica Martins","Escola Nacional de Saúde Pública Sergio Arouca, Fundação Oswaldo Cruz, Rio de Janeiro, Brasil.",""
"698","Matthias Holenstein","Risk Dialogue Foundation",""
"699","Claudio Thieme","Universidad Diego Portales",""
"700","Gary Canivez","Eastern Illinois University",""
"701","Daniel L. Villeneuve","U.S. EPA, Mid-Continent Ecology Division, 6201 Congdon Boulevard, Duluth, Minnesota 55804, United States",""
"702","Donna Fitzsimons","Head of School of Nursing and Midwifery, Queen’s University, Belfast, Northern Ireland, United Kingdom; and All Ireland Institute of Hospice & Palliative Care, Dublin, Ireland.",""
"703","Allan Peterson","University of Nebrska-Lincoln",""
"704","Peter Bentler","University of California",""
"705","N. de Castro Leandro","Public university",""
"706","Andy McEwen","Department of Behavioural Science and Health, University College London, Gower Street, London, WC1E 6BT, UK",""
"707","JOHN STEPHENSON","University of Huddersfield",""
"708","Rosendo Rodriguez","From the Department of Medicine (M.C.F.S., R.R.) and Division of Neurology (M.C.F.S.), and School of Public Health, Preventive Medicine and Epidemiology (M.C.F.S., M.P.), University of Ottawa, Ontario, Canada; Ottawa Hospital Research Institute, Ottawa, Ontario, Canada (M.C.F.S., R.R.); Department of Neurology, University of California San Francisco (K.M., A.S.K.); and Department of History (F.W.S.), Department of Community Health Sciences (F.W.S., E.E.S.), and Department of Clinical Neurosciences (E.E.S.), University of Calgary, Alberta, Canada.",""
"709","Hermann Faller","Department of Medical Psychology and Psychotherapy, Medical Sociology and Rehabilitation Sciences, University of Würzburg, Klinikstrasse 3, 97070, Würzburg, Germany",""
"710","Niels Hansen","University of Copenhagen",""
"711","César González-Blanch","University Hospital “Marqués de Valdecilla”",""
"712","Mohammad Karamouzian","School of Population and Public Health, Faculty of Medicine, University of British Columbia, Vancouver, BC, Canada.",""
"713","Sergiu Ivanov","Faculty of Medicine of Grenoble",""
"714","Carmen Cecilia","University of Magdalena",""
"715","Matthias Greiff","Management, Micro-Economics",""
"716","Rebeca Aritio-Solana","Universidad de La Rioja",""
"717","Marilyn Milovich","Missouri Valley College",""
"718","Nilufer Subasi Tekintas","Marmara University",""
"719","Tauha Ali","Mehran University of Engineering & Technology",""
"720","Vimal Shenoy","Northeast Ohio Medical University",""
"721","Elena Gorinova","International Laboratory of Social and Cultural Researchings, National Research University “Higher School of Economics”",""
"722","Anthony Igboanugo, A.C.","University of Benin",""
"723","Ku Aziliah Ku Mahamad","Universiti Teknologi MARA",""
"724","A Ranta","University of Otago",""
"725","Mark Kotter","University of Cambridge",""
"726","José Espada","Universidad Miguel Hernández",""
"727","Mark D. Griffiths","Department of Psychology, Nottingham Trent University, Nottingham,UK",""
"728","KM Sudhir","Narayana Dental College and Hospital, Nellore, Andhra Pradesh, India",""
"729","Single Single","Single","x"
"730","Ana Lucia-Casademunt","Universidad Loyola Andalucía",""
"731","Dustin Gibson","Johns Hopkins Bloomberg School of Public Health",""
"732","Mohammad Jahanmiri","Islamic Azad University",""
"733","Colin M Dayan","University of Bristol",""
"734","Lawrence I.G","Department of Food Technology, The Federal Polytechnic, Offa, Ogun State, Nigeria.",""
"735","Andrew McGrath","Saint Louis University",""
"736","Pedro Veiga","Research Unit in Business Sciences – NECE, University of Beira Interior, Covilhã, Portugal",""
"737","Holly O Witteman","Laval University, Quebec City, QC, Canada",""
"738","Annette Jäckle","University of Essex",""
"739","Natasha C. Johnson","School of Social Work and Department of Psychology, University of Michigan",""
"740","Jane Wang","Regenstrief Institute",""
"741","Silke Schmidt","University Greifswald",""
"742","Line Guénette","1Faculty of Pharmacy, Laval University, Quebec City, QC, Canada2Population Health and Optimal Health Practices Research Unit, CHU de Québec - Université Laval Research Centre, Quebec City, QC, Canada3Chair on adherence to treatments, Laval University, Quebec City, QC, Canada",""
"743","Loredana Sasso","University of Genoa",""
"744","Puja Sravanthi","Vignan Pharmacy College",""
"745","Xiaoguang Yang","Chinese Center for Disease Control and Prevention",""
"746","B. Babu","RV College of Engineering",""
"747","K. Kolar Stephanie","Johns Hopkins University Press",""
"748","Frederick L.Altice","University Malaya, Centre of Excellence for Research in AIDS (CERiA), Kuala Lumpur, Malaysia",""
"749","Olga Perski","University College London",""
"750","Yousef Mahdavi","Dr. Ambedkar Government Arts College",""
"751","Shirley Rietdyk","Department of Health and Kinesiology, Purdue University",""
"752","Mor Naaman","Stanford University",""
"753","Maria Nunes","Portuguese Institute for the Sea and Atmosphere (IPMA)",""
"754","Mehdi Zare","Medicinal and Natural Products Chemistry Research Center (MNCRC), Shiraz University of Medical Sciences, Shiraz, Iran",""
"755","S.J. Haslett","Institute of Fundamental Sciences - Statistics, College of Sciences Massey University Palmerston North New Zealand",""
"756","Richard Sawatzky","Trinity Western University",""
"757","Tieqiao Liu","Central South University",""
"758","Ferry Koster","TIAS School for Business and Society, Tilburg",""
"759","Lim Yeong","University Tunku Abdul Rahman",""
"760","Yew-Soon Ong","Nanyang Technological University",""
"761","Michael K. Paasche-Orlow","Boston Medical Center",""
"762","Jordi Tamayo","National Library of Spain",""
"763","Paulo Sampaio","University of Minho",""
"764","Jorge E. Esteves","Instituto Piaget, VN Gaia School of Health Care",""
"765","Dirk Baier","Zurich University of Applied Sciences, Switzerland",""
"766","Reddy Sasiragha Priscilla","University of Western Cape",""
"767","Nathalie Bier","Université de Montréal",""
"768","Damla Gökşen","Ege University",""
"769","Paula A Misiewicz","American Society of Agricultural and Biological Engineers",""
"770","Mike Huang","University of California",""
"771","GOMATHI SHAMUGANATHAN","HELP University",""
"772","Alain Lacroux","University of Toulon",""
"773","François Bavaud","University of Lausanne",""
"774","Joseph Pfaller","The University of Iowa",""
"775","Bai-Chen Xie","College of Management and Economics, Tianjin University, Tianjin 300072, China APEC Sustainable Energy Center, Tianjin University, Tianjin 300072, China",""
"776","Shitong Wang","School of Digital Media, Jiangnan University, Wuxi, Jiangsu, PR China",""
"777","Margaret Sheridan","University of North Carolina at Chapel Hill, Clinical Psychology, United States",""
"778","Jonas Pontusson","University of Geneva",""
"779","Peter Goos","The Implementation of Social Policy: A Factorial Survey Approach,"" Working Papers 1706, Herman Deleeck Centre for Social Policy, University of Antwerp.",""
"780","Mitch Blair","Imperial College of Science, Technology and Medicine",""
"781","Juan Marin","Universitat Politècnica de Catalunya",""
"782","J. Sharman","University of Cambridge",""
"783","Gregg G Van Ryzin","Rutgers University, Newark",""
"784","John Dziak","The Pennsylvania State University",""
"785","Rosemary Purcell","University of Melbourne",""
"786","Gihan Abeywardena","Teaching Hospital-Kandy",""
"787","Loreto Martínez","Universidad Católica de Chile",""
"788","Rosario Ortega-Ruiz","Universidad de Córdoba",""
"789","Shikha Kapoor","Amity University","x"
"790","Gonzalo Ruiz-Sánchez","Universidad a Distancia de Madrid",""
"791","E. G. Prilepkina","Far Eastern Federal University and Institute of Applied Mathematics of the FEBRAS, Vladivostok, Russia",""
"792","Edward McAuley","University of Illinois at Urbana-Champaign",""
"793","Truc Thai","Ho Chi Minh City University of Medicine and Pharmacy",""
"794","Barton Moffatt","Mississippi State University",""
"795","Larissa Rabbiosi","ESCP",""
"796","Choobchian Shahlla","Tarbiat Modares University",""
"797","Sebastian Spaeth","University of Hamburg",""
