"","name","institution","delete"
"94","Yasemin Atik Altınok","Ege University Faculty of Medicine, Department of Pediatric Endocrinology, İzmir, Turkey","x"
"95","Pete Malcolmson","Department of Mathematics, Wayne State University, Detroit, MI, USA",""
"96","Margita Mesarosova","Faculty of Arts, Pavol Jozef Safarik University",""
"97","Dominika Wach","TU Dresden, Germany",""
"98","Yuqing Zhang","McMaster University","x"
"99","Andraž Petrovčič","University of Ljubljana",""
"100","Jakub Szewczyk","Institute of Psychology, Jagiellonian University, Kraków, Poland",""
"101","Anne Toussaint","University Medical Center Hamburg-Eppendorf and Schön Klinik Hamburg Eilbek, Hamburg","x"
"102","Nur Ab Majid","Institute for Public Health, Bangsar, Kuala Lumpur, Malaysia",""
"103","Pierre Petitgas","The Institut français de recherche",""
"104","Michael Hanslmaier","Criminological Research Institute of Lower Saxony, Germany",""
"105","Mogens Pedersen","Aarhus University",""
"106","Sheryl L. Chatfield","Kent State University",""
"107","Ruxandra BEJINARU","Universitatea Stefan cel Mare Suceava",""
"108","Xiaobing Liu","Peking University",""
"109","Rosa Autorino","Fondazione Policlinico Universitario Agostino Gemelli IRCCS",""
"110","Mahdi Khademian","Amirkabir University of Technology, Tehran, Islamic Republic of Iran",""
"111","Christian Agyare","Department of Pharmaceutics, Faculty of Pharmacy and Pharmaceutical Sciences, Kwame Nkrumah University of Science and Technology, Kumasi, Ghana",""
"112","Nadia Abuzied","Federal Ministry of Health, Khartoum, Sudan",""
"113","Robert F. Otondo","Mississippi State University",""
"114","Jasper Hotho","Copenhagen Business School","x"
"115","Matthew J. Witry","University of Iowa",""
"116","Julio Cesar Ferro de Guimarães","Faculdade Meridional IMED",""
"117","Merete Monrad","Aalborg University","x"
"118","G Ramesh","Department of Oral and Maxillofacial Pathology, Rama Dental College Hospital and Research Centre, Kanpur, Uttar Pradesh, India",""
"119","Severin Hennemann","1Department of Psychosomatic Medicine and Psychotherapy, University Medical Center, Gutenberg University Mainz, Mainz, Germany  2Department of Clinical Psychology, Psychotherapy and Experimental Psychopathology, Institute of Psychology, University of Mainz, Mainz, Germany",""
"120","Nasibeh Hajilary","Department of Chemical Engineering, Golestan University, Gorgan, Iran",""
"121","Claus-Peter H. Ernst","Frankfurt University of Applied Sciences",""
"122","Reto Wüest","University of Geneva",""
"123","Sang-Hyun Kim","Seoul National University College of Medicine",""
"124","Silva Umann","UDEA",""
"125","Michaela Haase","Freie Universität Berlin, Berlin, Germany",""
"126","Sujaya Gupta","Kantipur Dental College",""
"127","Laura L. King","Department of Criminal Justice, Boise State University, Boise, Idaho, USA",""
"128","Annabell Daniel","Freie Universität Berlin",""
"129","Frances Y. Kuo","School of Mathematics and Statistics, University of New South Wales, SydneyAustralia",""
"130","Coskun Canan","Humboldt University of Berlin",""
"131","Paul A. Jewsbury","University of Melbourne",""
"132","Jeffrey Huffman","Massachusetts General Hospital, Boston, MA, USA",""
"133","Asako Miur","Department of Psychological Science, Kwansei Gakuin University, Nishinomiya, Japan",""
"134","Trent Maurer","Georgia Southern University, Statesboro, USA",""
"135","Anthony Clement Igboanugo","University of Benin",""
"136","Valentina Di Stasio","University of Oxford","x"
"137","Elizabeth MacDougall","Hood College","x"
"138","Stelios Karagiannis","Centre of Planning and Economic Research, Athens, Greece",""
"139","Noah Ivers","University of Toronto",""
"140","J Djokovic","Department of Pharmacology and Toxicology",""
"141","Blaine Robbins","University of California, Berkeley, United States","x"
"142","Eva Bostjancic","University of Ljubljana",""
"143","Blaine Robbins","New York University Abu Dhabi","x"
"144","Georgios KORONIS","Singapore University of Technology and Design",""
"145","Alejandro Salado","Grado Department of Industrial and Systems Engineering Virginia Tech",""
"146","Melissa D. Kunkel","Indiana University School of Medicine",""
"147","Mahdi Khademian","Amirkabir University of Technology","x"
"148","Yu LI","Advanced Digital Sciences Center, Singapore",""
"149","Sarah K. Schäfer","Saarland University",""
"150","Yuqing Zhang","Department of Health Research Methods, Evidence, and Impact, McMaster University, Hamilton, Ontario, Canada Guang'anmen Hospital China Academy of Chinese Medical Science, Xicheng District, Beijing, China",""
"151","Rob Grieve","University of the West of England",""
"152","Ahmed Ibrahim","University of Chicago",""
"153","Selcuk Selcuk","Zeynep Kamil Training and Research Hospital",""
"154","Anders Molander","Centre for the Study of Professions, Oslo and Akershus University College, Norway.",""
"155","Li Zheng","Department of Electrical and Information Technology",""
"156","Matthew Witry","Department of Pharmacy Practice and Science, University of Iowa College of Pharmacy, 115 S. Grand Avenue S515 PHAR, Iowa City, IA 52242.",""
"157","Ching-Shui Cheng","University of California, Berkeley",""
"158","Siv K. Stafseth","Oslo University Hospital-Rikshospitalet",""
"159","Wim Oorschot","University of Leuven",""
"160","Taruna Malhotra","Vaish College of Education, Rohtak",""
"161","Anna Forke","Johannes Gutenberg-University Mainz",""
"162","Jagdish Chaturvedi","Apollo Hospital, India",""
"163","Davide Marengo","University of Aosta Valley",""
"164","Alexander Coppock","Department of Political Science, Yale University","x"
"165","Luzia Helfer","Leiden University","x"
"166","Timothy Brown","University of Texas at Dallas",""
"167","Alessandra Dosch","University of Geneva",""
"168","Anne Toussaint","Department of Psychosomatic Medicine and Psychotherapy, University Medical Center Hamburg-Eppendorf and Schön Klinik Hamburg Eilbek, Hamburg, Germany",""
"169","Tobias Wolbring","Mannheim,Deutschland",""
"170","Leandro Tonetto","Universidade do Vale do Rio dos Sinos",""
"171","Huda Taha","1GU/HIV Medicine, Coventry and Warwickshire Partnership Trust, Coventry, UK",""
"172","Nadhrathul Ain Bt Ibrahim","UiTM Shah Alam",""
"173","Lawrence Garber","Elon University and Institute of Management Technology",""
"174","Rie Chiba","School of Nursing, Jichi Medical University, 3311-159, Yakushiji, Shimotsuke-shi, Tochigi, 329-0498, Japan",""
"175","Katrien De Wilde","Odisee University College",""
"176","William Tullar","UNC - Greensboro",""
"177","Thomas Foulkes","Engineering University of Illinois at Urbana-Champaign",""
"178","Andrew Kirkpatrick","University of Calgary",""
"179","Xavier Triado-Ivern","University of Barcelona",""
"180","Corbin Reno","Pennsylvania State University, University Park, PA, USA",""
"181","Luzia Helfer","Department of Political Science, Leiden Univerrsity",""
"182","Vineet Chopra","University of Michigan Medical School, Ann Arbor",""
"183","Cheng-Kar Phang","Department of Psychiatry, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia (UPM), Selangor, Malaysia",""
"184","Scott Clifford","University of Houston","x"
"185","Peter Anderson","Teesside University",""
"186","Melissa L. Rorie","University of Nevada",""
"187","Charles Gonson","IFREMER, UR Lagons, Ecosystèmes et Aquaculture Durable en Nouvelle Calédonie",""
"188","Jeffery C Huffman","Massachusetts General Hospital",""
"189","Bin Gao","School of Electronics and Information, Jiangsu University of Science and Technology, Zhenjiang, Jiangsu, 212003, China",""
"190","Joanne Crawford","Faculty of Applied Health Sciences, Department of Nursing, Brock University, 1812 Sir Isaac Brock Way, St. Catharines, ON, L2S 3A1, Canada",""
"191","Pinar Kuecuekbalaban","Ernst-Moritz-Arndt-University",""
"192","Merete Monrad","Aalborg University",""
"193","Réka Szigeti","Eötvös Loránd University (ELTE PPK)",""
"194","Jesus Escalante","Universitat Politècnica de Catalunya, Spain",""
"195","Robert Strader","Capella University",""
"196","Alexander Coppock","Department of Political Science, Yale University, New Haven, CT",""
"197","Inbal Nahum-Shani","The University of Michigan-Ann Arbor",""
"198","Blaine Robbins","New York University, University of California, Berkeley Abu Dhabi United Arab Emirates",""
"199","Tiago Correia","School of Sociology and Public Policies, ISCTE-Instituto Universitário de Lisboa, Av Forcas Armadas, 1649-026, Lisbon, Portugal",""
"200","Diana Kontsevaia","Bentley University Waltham, MA, U.S.A.",""
"201","Sergio Herzog","Hebrew University of Jerusalem Israel",""
"202","Francisco Ruiz","Facultad de Psicología, Fundación Universitaria Konrad Lorenz, Bogotá, Colombia",""
"203","Catarina Machado Azeredo","School of Medicine—Federal University of Uberlandia (Faculdade de Medicina—Universidade Federal de Uberlândia), Uberlandia, Brazil",""
"204","Jasper Hotho","Department of International Economics, Government and BusinessCopenhagen Business SchoolFrederiksbergDenmark",""
"205","Satomi Doi","Department of Global Health Promotion, Tokyo Medical and Dental University, Tokyo, Japan, National Center of Neurology and Psychiatry, National Center for Cognitive Behavior Therapy and Research, Tokyo, Japan",""
"206","Ali Nejat","Texas Tech University",""
"207","Kevin Elliott","Lyman Briggs College, Department of Fisheries and Wildlife, Department of Philosophy, Michigan State University, East Lansing, Michigan, United States of America",""
"208","Rathie Rajendram","Moorfields Eye Hospital NHS Foundation",""
"209","Jordan Lamberton","University of the Pacific",""
