"name","institution","delete"
"Ruxandra BEJINARU","Ștefan cel Mare University of Suceava",""
"Angelica B Ortiz de Gortari","Department of Psychology, Nottingham Trent University, Nottingham,UK",""
"Juha Kääriäinen","University of Helsinki",""
"K Vandana","Drs Sudha and Nageswara Rao Siddhartha Institute of Dental Sciences, Gannavaram, Andhra Pradesh, India",""
"Romer Castillo","Batangas State University",""
"Diego Gomez-Baya","Universidad de Huelva",""
"Abigail Greenleaf","Johns Hopkins Bloomberg School of Public Health",""
"Maryam Vamdar","Islamic Azad University",""
"Claudia Finger","WZB Berlin Social Science Center",""
"Rathie Rajendram","Moorfields Eye Hospital NHS Foundation Trust",""
"Nnoka Kingsley","Department of Nutrition and Dietetics, School of Applied Sciences, The Federal Polytechnic Ede, Osun State, Nigeria.",""
"Ryan Patten","Saint Louis University",""
"Micaela Pinho","Universidade Portucalense, Research on Economics, Management and Information Technologies – REMIT, DEG, Oporto, Portugal",""
"Gratianne Vaisson","Laval University, Quebec City, QC, Canada",""
"Katrin Auspurg","Goethe-University Frankfurt",""
"Daphne C. Watkins","School of Social Work, University of Michigan",""
"Sariya Udayachalerm","Purdue University",""
"Daniela Knuth","University Greifswald",""
"Arsène Zongo","1Faculty of Pharmacy, Laval University, Quebec City, QC, Canada2Population Health and Optimal Health Practices Research Unit, CHU de Québec - Université Laval Research Centre, Quebec City, QC, Canada3Chair on adherence to treatments, Laval University, Quebec City, QC, Canada",""
"Annamaria Bagnasco","University of Genoa",""
"Poluri Koteswari","Hindu College of Pharmacy",""
"Xiaobing Liu","Chinese Center for Disease Control and Prevention",""
"K. Bhargavi","Siddaganga Institute of Technology",""
"W. Wheldon Christopher","Johns Hopkins University Press",""
"Alexander R.Bazazi","Yale School of Public Health, Department of Epidemiology of Microbial Diseases, New Haven, CT, USA",""
"Claire Garnett","University College London",""
"Davoud Balarak","Ankara University",""
"Michel Hubertus He","The University of North Carolina Wilmington",""
"Xiao Ma","Cornell University",""
"Carlos Cardoso","Portuguese Institute for the Sea and Atmosphere (IPMA)",""
"Hossein Abdolrahimzadeh","Trauma Research Center, Shahid Rajaee (Emtiaz) Trauma Hospital, Shiraz University of Medical Sciences, Shiraz, Iran",""
"K.L. Beck","School of Food and Nutrition, College of Health Massey University Auckland Auckland New Zealand",""
"Faustin Habineza","INES-Ruhengeri",""
"Jae Kwon","University of British Columbia",""
"Shubao Chen","Central South University",""
"Maria Fleischmann","University College London",""
"Glory Viapude","University Tunku Abdul Rahman",""
"Jianfei Cai","Nanyang Technological University",""
"Zhe Zhang","Northeastern University",""
"Carme Prunera","University of Barcelona",""
"Pedro Domingues","University of Minho",""
"Roy J.D. Macdonald","Research Center, University College of Osteopathy",""
"Michael Hanslmaier","Criminological Research Institute of Lower Saxony Germany",""
"Shamagonam James","University of the Witwatersrand",""
"Zach Sommers","Northwestern University",""
"Sophie Laforest","Université de Montréal",""
"Yasemin Altınok","Ege University",""
"William A Millington","American Society of Agricultural and Biological Engineers",""
"Subir Ghosh","University of California",""
"Laure Charleux","University of Minnesota–Duluth",""
"JANANI MARIMUTHU","Holy Cross College",""
"Christelle Martin-Lacroux","University of Grenoble",""
"Pascale Deneulin","University of Applied Sciences and Arts Western Switzerland",""
"Jennifer Sánchez","The University of Iowa",""
"Zhen-Yu She","College of Management and Economics, Tianjin University, Tianjin 300072, China",""
"Zhaohong Deng","School of Digital Media, Jiangnan University, Wuxi, Jiangsu, PR China",""
"Christopher Blattman","Columbia University SIPA, 420 W 118th St., New York, NY, United States",""
"Reto Wüest","University of Geneva",""
"Marjolijn De Wilde","The Implementation of Social Policy: A Factorial Survey Approach,"" Working Papers 1706, Herman Deleeck Centre for Social Policy, University of Antwerp.",""
"Maria Brenner","Trinity College of Dublin",""
"Monica Martinez","Universitat Politècnica de Catalunya",""
"Michael Findley","University of Texas",""
"Norma M Riccucci","Rutgers University, Newark",""
"Inbal Nahum-Shani","The University of Michigan",""
"Alexandra Parker","University of Melbourne",""
"Nuwan Wickramasinghe","Rajarata University of Sri Lanka",""
"Cristina Valenzuela","Universidad Autónoma de Chile",""
"Wesley H. Jones","Single",""
"Juan Espinosa","University of California, Santa Barbara",""
"Esther Vega","Universidad de Sevilla",""
"Alka Agnihotri","Amity University",""
"Richard Mababu","Universidad a Distancia de Madrid",""
"Murat Alan","Yildiz Technical University,",""
"D. B. Karp","Far Eastern Federal University and Institute of Applied Mathematics of the FEBRAS, Vladivostok, Russia",""
"Sarah Roberts","University of Illinois at Urbana-Champaign",""
"Long Khuong","Ho Chi Minh City University of Medicine and Pharmacy",""
"Brad Trinkle","Mississippi State University",""
"Jasper Hotho","Copenhagen Business School",""
"HAJI LATIF","Tarbiat Modares University",""
"Ruxandra Bejinaru","Facultatea de Management – Scoala Nationala de Studii Politice si Administrative (SNSPA)",""
"Krystallia Moysidou","University of Hamburg",""
"An Zehui","Social participation in University Governance: China's situation and its path selection",""
"Martin Abraham","University Erlangen-NurembergNurembergGermany",""
"Zheng Li","Department of Electrical and Information Technology, Lund University, Lund, Sweden",""
"Reecha Gupta","Department of Prosthodontics and Dental materials, Indira Gandhi Government Dental College, Jammu",""
"Rosemary Bailey","University of St. Andrews",""
"Frederick S. Barrett","John Hopkins University of Medicine",""
"Fabienne Ennigkeit","Institute of Sport Sciences, Goethe-University Frankfurt",""
"Sherman A. Lee","Department of Psychology, Christopher Newport University",""
"James Bowen","University of North Carolina at Charlotte",""
"Anne-Kathrin Mayer","Leibniz Institute for Psychology Information",""
"Noor Kassim","International Islamic University Malaysia",""
"Reecha Gupta","Indira Gandhi Government Dental College",""
"Jaimie F. Veale","School of Psychology, Te Kura Kete Aronui: Faculty of Arts and Social SciencesTe Whare Wananga o Waikato: The University of WaikatoHamiltonNew Zealand",""
"Serkan Deveci","Department of Urology, Memorial Sloan Kettering Cancer Center, New York, NY, USA  Department of Urology, Medical School of Acibadem University, Istanbul, Turkey",""
"Jimmy B. Beck,","Department of Pediatrics, University of Washington, Seattle, Washington",""
"YOUSOFI ALI","ACECR RESEARCH CENTER FOR TOURISM",""
"Pablo Vallejo-Medina","Fundación Universitaria Konrad Lorenz",""
"Sarah L. Appleton","University of Adelaide",""
"F. Bellissimo Rodrigues","University of Geneva Hospitals and Faculty of Medicine",""
"B O Olley","Psychology, University of lbadan,lbadan,Nigeria",""
"Pedro Domingues","University of Minho",""
"Kathy Phipps","None",""
